id,neumonic,muxB,ALU_select,muxPC,muxINC,muxY,muxRM
,,,,,,,
0,add,0,0,0,0,0,0
,,,,,,,
1,sub,0,1,0,0,0,0
,,,,,,,
2,xor,0,5,0,0,0,0
,,,,,,,
3,or,0,7,0,0,0,0
,,,,,,,
4,and,0,6,0,0,0,0
,,,,,,,
5,sll,0,8,0,0,0,0
,,,,,,,
6,srl,0,9,0,0,0,0
,,,,,,,
7,sra,0,10,0,0,0,0
,,,,,,,
8,slt,0,14,0,0,0,0
,,,,,,,
9,addi,1,0,0,0,0,0
,,,,,,,
10,ori,1,7,0,0,0,0
,,,,,,,
11,andi,1,6,0,0,0,0
,,,,,,,
12,lb,1,0,0,0,,1
,,,,,,,
13,lh,1,0,0,0,1,1
,,,,,,,
14,lw,1,0,0,0,1,1
,,,,,,,
15,sb,1,0,0,0,0,2
,,,,,,,
16,sh,1,0,0,0,0,2
,,,,,,,
17,sw,1,0,0,0,0,2
,,,,,,,
18,beq,0,11,0,,0,0
,,,,,,,
19,bne,0,12,0,,0,0
,,,,,,,
20,blt,0,14,0,,0,0
,,,,,,,
21,bge,0,13,0,,0,0
,,,,,,,
22,jal,0,0,0,1,2,0
,,,,,,,
23,jalr,1,0,1,1,2,0
,,,,,,,
24,lui,1,0,0,,0,0
,,,,,,,
25,auipc,1,0,0,,,0
,,,,,,,
26,mul,0,2,0,,0,0
,,,,,,,
27,div,0,3,0,,0,0
,,,,,,,
28,rem,0,4,0,,0,0
